Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,HF,LF
-0.347805605,-0.451397984,2.490314126,-1.119430665,1.118518961,0.417124397,0.450789077,1.120653052,-0.352088176,0.536629249,-0.483146027,1.167981943,0.145378631,-0.362604448,-0.118195432,1.07031186,-0.468236492,0.867845895,-0.151424369,0.558408218,1.931155,0.6177
-0.298285037,-0.683202654,2.499999166,-0.102192725,0.29552028,-0.326001058,-0.142880151,0.299417545,-0.230214702,0.304837903,-0.765787241,0.201216203,0.915073041,-0.212998521,-0.366247225,1.751489129,0.867925858,-0.164694713,0.310253065,0.348288201,2.907597,1.5126
-0.678856589,-1.151963208,2.502047924,-2.340424136,2.612878584,-0.690963263,-0.499081688,2.611059963,-0.230214702,1.116107613,-2.141802064,1.396802237,0.195036335,-0.362604448,-0.73695058,0.63889959,1.3037143,1.44390422,0.062834772,2.569155746,3.412765,1.7396
-0.868003009,-0.710430504,0.574725022,-0.602086647,0.80714484,-0.57922109,-0.241825023,0.810335524,-0.595835124,1.00021194,-0.429257445,-0.021883583,1.386821228,0.685281895,-0.772988639,1.104370723,0.748915682,0.868081164,-0.078729303,0.051517733,5.99077997,4.1304
-0.887270156,-0.955424548,2.509684206,-1.373996769,1.746476449,-0.049209931,1.519393687,1.74786771,-0.820832306,0.679270077,-1.779856913,0.046762505,0.964730745,-0.362604448,-0.587037893,1.899077537,1.288288585,1.011748113,1.108240829,1.243687979,6.828235,5.5901
-0.727755177,0.784893588,-0.740950372,0.58999441,-1.483326799,-0.455122384,-0.578237585,-1.475880221,-1.083329019,-1.317701517,0.591656187,-0.662580405,-0.425684963,-0.362604448,0.068306613,-0.643984266,0.222635481,-0.971344138,-0.165963382,-0.240594558,0.536987,0.1426
-0.256860795,-0.39841406,0.608995163,-0.675992936,0.686220829,0.29978178,0.529944974,0.693844637,-0.010842449,0.536629249,-0.223976265,0.57304918,0.443324855,-0.362604448,0.174995556,0.139369593,-0.224387799,0.86734886,-0.157290988,0.124319173,0.568417,0.0
-0.823913461,-1.073664742,2.515457979,-1.052093825,1.365492883,-0.248901625,1.875595224,1.367325049,-0.810332437,0.629345787,-2.244859928,-1.44628991,0.418496003,-0.362604448,-0.326483197,1.899077537,1.279371921,0.963060506,0.019472803,1.872168777,4.150442,2.066
-0.548376551,-0.767339164,2.490314126,-1.699731892,1.77718786,0.139769122,0.450789077,1.778207357,-0.514586141,0.845684376,-1.150916878,1.167981943,0.145378631,-0.362604448,-0.313656091,1.07031186,0.054783828,1.174856563,-0.151424369,1.341686162,0.024874,0.43115
-1.093686508,-1.390390869,0.500597219,-0.318779209,0.496729222,-0.795771554,-1.027447301,0.500319419,-1.083329019,1.00021194,-0.684162096,-0.090529671,1.088875005,1.057362153,-0.948170255,1.161135496,0.919630528,0.86909818,0.064620265,0.416194371,6.672296,4.9874
-0.530674833,-0.871737119,0.612347677,-0.304819132,0.593704584,-0.524816786,-0.518870662,0.598735979,-0.33258842,0.629345787,-0.129480099,0.069644534,-0.053252184,-0.362604448,-0.696758982,0.672958453,0.213501791,0.960628349,-0.295029007,0.210634903,2.6031605,2.1388
-0.51986713,-0.985251163,0.609926417,-0.318405945,0.694789253,-0.573014538,-0.578237585,0.683424211,-0.400837566,0.747348654,-0.290795993,0.092526564,-0.723631187,-0.362604448,-0.773877097,0.831899816,0.247826438,1.077855709,-0.295029007,0.203472672,0.517292,0.0803
-0.593302661,-0.897346016,0.62035646,-0.795064178,0.877157134,-0.816039824,-0.98193266,0.880145448,0.135405719,0.768420594,-0.413321432,1.511212383,0.492982558,-0.115625698,-0.941573457,-0.064983588,0.447596979,1.09811752,-0.001953111,0.541149256,4.917886,3.5774
-0.822897759,-1.419826382,0.574725022,-0.880603863,1.266584312,-0.563397616,-0.241825023,1.268737197,-0.514586141,1.38653085,-0.331260631,1.442566295,1.088875005,1.057362153,-0.776287038,0.343722773,0.843274701,1.174559427,0.064620265,0.46236471,5.879843,4.2721
0.657648285,-0.595632001,0.539709879,-0.166860728,1.105426384,-0.830974339,-1.092750916,1.107987698,0.622899614,0.304837903,-0.717202306,1.28239209,-0.723631187,-0.362604448,-0.783983301,-0.053630633,1.400689769,0.638458405,-0.609148212,-0.371169937,2.358773,1.2482
1.537298208,-0.595632001,-0.765535473,0.925309977,0.0243685,-0.532284044,-0.776127328,0.02901774,2.329128248,-1.317701517,0.425324355,1.385361222,-1.5429833,-0.362604448,-0.228142053,-1.574926533,1.298732295,-0.969628579,-0.499723008,-0.012026627,0.528321,0.24595
-0.748511461,-1.103885203,0.610485169,-0.377630513,0.919726338,-0.63972958,-0.696971431,0.919121617,-0.325005182,0.845684376,-0.280948039,-0.021883583,-0.078081036,-0.362604448,-0.838142192,1.138429587,0.648519799,1.175563568,-0.258043798,0.028529028,4.041183,2.8085
-0.884643212,-0.746734304,-0.819920695,1.164821096,-1.309625001,-0.748834508,-1.027447301,-1.302781921,-1.083329019,-0.23600857,-0.579414464,-1.051574904,0.145378631,-0.362604448,-0.882039398,0.184781411,1.113385193,-0.968577761,-0.081790148,0.088504212,3.28039431,2.27795
-0.798465507,-0.912946838,0.614955187,-0.069140191,0.425091643,-0.465825453,-0.222036048,0.429488533,-0.946830728,0.629345787,-0.909740352,-0.960046786,0.344009447,-0.362604448,-0.588669238,1.206547314,0.26608476,0.961394787,-0.236362814,-0.258264945,4.041241,2.6212
-0.328570297,-0.44256733,0.608995163,-0.618510267,0.798046021,0.273113004,0.529944974,0.805411532,-0.010842449,0.536629249,-0.254964328,0.687459327,0.443324855,-0.362604448,0.003967479,0.343722773,-0.030959893,0.867432435,-0.241464222,-0.123163882,2.470299,1.66435
-0.902004171,-0.760470877,-0.821783203,-0.097881525,-0.091054545,-0.830974339,-1.092750916,-0.086473311,-0.400837566,0.629345787,-1.406960894,0.630254253,-0.276711852,4.701427213,-0.974166522,1.286017995,1.295116076,0.322912001,5.188474573,0.447515726,4.726732,3.3163
0.055559515,-0.852256161,0.619425206,-0.888006934,1.106730274,0.635323476,2.429686503,1.105676849,-0.524926921,1.042355821,-0.194158434,0.481521063,0.492982558,-0.362604448,0.432648243,0.059898911,-0.328116212,1.36924774,-0.289927599,0.283481987,4.610805,3.9714
-0.377204513,-1.042070624,-0.73797036,-0.425532737,0.014158374,-0.461345098,-0.578237585,-0.007401745,0.167905312,0.845684376,-0.476417381,0.321346857,1.585452044,0.729776761,-0.710441228,0.514017091,0.262969623,0.086926764,0.307957432,1.249966111,2.72448266,2.0323
-0.578232748,-0.605934431,0.617376447,-0.03033939,0.067153791,-0.445477176,-0.340769894,0.057092803,-0.742083292,0.304837903,-0.75453532,-1.028692875,0.219865187,-0.362604448,-0.24396215,1.161135496,-0.101048244,0.638814409,-0.177696621,0.173219566,2.157658,1.4064
-0.626570519,0.94458125,-0.795149344,-1.273402099,0.555659709,-0.073981121,1.875595224,0.558875058,-0.742083292,0.710472758,-0.628197312,-0.502406199,0.492982558,4.701427213,-0.185385034,-0.178513133,0.68805522,1.044577769,-0.295284078,-1.133388461,1.35135,0.7778
0.178228576,1.29314679,-0.60629107,0.628316189,-0.704764161,0.438459418,0.411211128,-0.724386251,-0.059591839,-0.23600857,0.66807762,-0.571052288,0.443324855,-0.362604448,0.324848728,-0.587219494,-0.874873616,-0.970534602,-0.441949561,-0.512484226,0.902848,0.6061
-0.984297909,-0.661567551,-0.821783203,-0.281826065,-0.633649822,-0.736886896,-1.009637224,-0.627548445,-0.400837566,-0.019669981,-1.661449118,0.046762505,1.312334672,0.576946568,-0.8783908,1.104370723,1.12768627,-0.326577637,5.695554539,0.48506286,5.769478,4.3589
-0.091353492,-0.813454802,-0.701092708,0.600943489,-0.409374329,-0.580287841,-0.716760405,-0.404266673,-0.498336345,0.536629249,1.177817753,-0.227821847,0.492982558,-0.362604448,-0.683076736,-0.008218815,0.375524351,-0.969620706,-0.224629575,0.482008547,2.494953,1.7848
-1.089736972,1.069927479,-0.689545161,-1.987145235,0.766466401,-0.810439381,-1.027447301,0.769610838,-1.083329019,0.845684376,-0.293908776,-0.342231994,1.585452044,3.718671037,-0.067660708,-0.246630859,0.773801605,1.177672588,1.476562495,-0.499060589,7.800912,6.61565
-0.848622589,-0.781075737,2.50577294,-1.505385726,1.367659931,-0.380805394,0.411211128,1.370212602,-0.693333903,0.536629249,-2.253918325,-0.593934317,-0.078081036,-0.362604448,-0.504230233,1.717430265,1.142858747,0.868742461,0.034777027,1.822810238,5.379917,5.0864
-1.182198996,-1.450733672,-0.821783203,-1.057842092,0.780768681,-0.800171902,-1.027447301,0.783919295,-1.083329019,1.116107613,-1.069045796,0.046762505,0.294351743,1.245014415,-0.966128203,1.161135496,1.143408364,1.431648075,-0.057685995,1.09871833,2.430214,2.5768
-0.600255871,-0.846324459,0.621846466,-0.679414523,0.926668143,0.009092118,1.182981124,0.926963365,-0.230214702,0.845684376,0.034078097,0.91627962,0.269522891,-0.362604448,-0.421973873,0.332369819,0.004915864,1.174556889,-0.018277617,0.375916487,1.890868,1.6142
-0.830568747,-1.147842237,2.521790505,-0.692827146,1.26908012,-0.751448048,-0.696971431,1.270939019,-0.912706155,0.629345787,-2.199825491,-1.549259042,1.188190413,-0.362604448,-0.593629052,1.9331364,1.100150173,0.965164409,0.252352083,1.822262135,4.332075,4.2766
-0.700400745,-0.599378339,0.606015151,-0.908909723,1.07411091,-0.315054738,0.411211128,1.077074421,-0.586971598,1.337362988,0.004227054,1.145099914,1.386821228,0.685281895,-0.403834531,0.048545957,0.259067515,1.076931184,-0.078729303,0.397039301,4.09777,3.737
