smiles,HF,LF
FC(F)(F)C(Cl)(Cl)Cl,10.42,7.14
FC(F)(Cl)C(F)(Cl)Cl,10.39,6.94
FC(F)(Cl)C(F)(F)Cl,9.71,5.56
FC(F)(F)C(F)(F)Cl,6.48,4.29
N#CC(Cl)(Cl)Cl,10.42,7.51
N#CC#N,5.01,3.73
FC(F)(F)C(F)(F)F,4.73,3.01
O=C(Cl)C(Cl)(Cl)Cl,12.48,8.74
ClC(Cl)C(Cl)(Cl)Cl,14.09,10.08
O=C(O)C(F)(F)F,5.45,3.54
FC(F)C(F)(F)F,4.62,3.04
FC(F)(F)C(Cl)Cl,7.75,5.7
FC(Cl)C(F)(F)Cl,8.56,5.81
FCC(F)(F)F,4.55,3.1
BrC(Br)C(Br)Br,16.55,12.08
ClC(Cl)C(Cl)Cl,12.15,8.62
O=C(Cl)CCl,8.62,6.09
O=CC=O,4.74,3.5
N#CCCl,6.1,4.68
O=C(O)C(Cl)Cl,9.1,6.34
ClCC(Cl)(Cl)Cl,12.32,8.75
CC(Cl)(Cl)Cl,10.3,7.5
CC(F)(F)F,4.74,3.19
ClCC(Cl)Cl,10.26,7.37
CC#N,4.4,3.43
OCC(F)(F)F,5.2,3.54
OCC(Cl)(Cl)Cl,11.0,7.88
CC(=O)Cl,6.67,4.81
CC(F)(Cl)Cl,8.3,6.0
CC(Cl)Cl,8.39,6.08
CC(F)F,5.01,3.3
BrCCBr,10.71,7.94
ClCCCl,8.33,6.09
FCCF,4.52,3.28
CC=O,4.59,3.52
CC(=O)O,5.16,3.78
C1CO1,3.78,3.37
O=S1OCCO1,8.0,5.98
CC(Br)Br,10.89,7.78
O=[N+]([O-])OCCO[N+](=O)[O-],10.83,8.02
C1CS1,6.81,5.21
OCCCl,7.06,5.12
CC(=N)O,5.67,4.34
CCBr,7.56,5.58
CCCl,6.4,4.76
C1CN1,5.11,3.97
CCF,4.16,3.43
NCC(=O)O,6.56,4.68
CCI,9.62,7.12
CC[N+](=O)[O-],6.76,5.13
CCON=O,7.0,5.22
CC[Si](Cl)(Cl)Cl,13.54,10.14
CC,4.47,3.58
CCS,7.61,5.8
CCO,5.12,3.95
OCCO,5.73,4.28
CCOS(=O)(=O)O,9.47,6.74
NCCO,6.45,4.87
CCOP(=O)(O)O,8.97,6.91
NCCN,7.26,5.46
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,17.84,13.14
FC(F)(F)C(F)(F)C(F)(F)F,6.54,4.38
OC(C(F)(F)F)C(F)(F)F,7.2,4.83
N#CCC#N,5.79,4.97
C=CC#N,6.2,5.05
C#CCCl,7.52,5.46
