Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
H6PbCBr3N,2.8532,1,0,-0.711262889,0.456932907,-0.821783203,-2.497303919,1.336572296,-0.813550739,-0.98193266,1.338596099,0.054156737,1.656954086,-0.306111076,1.721727053,2.802065789,3.761876197,-0.87705108,-0.734807902,0.828535851,0.909483538,7.779862359,0.592037045,0,0.1,2.8532
H6PbCI3N,2.4371,1,0,-0.582951224,0.456932907,-0.376643878,-2.497303919,1.176735202,-0.813550739,-0.98193266,1.179091306,0.054156737,1.656954086,-0.015353508,1.735456271,3.397958235,4.016593185,-0.852252009,-0.734807902,0.821063773,0.909489215,5.068463947,0.48476998,0,0.1,2.4371
NiMoO4,2.178,1,0,-0.348755608,-0.664314866,0.622032716,-0.775218971,0.87407789,-0.233593748,0.411211128,0.876807555,-0.343963278,0.845684376,-0.171253007,0.389992945,0.344009447,-0.362604448,0.170923459,0.048545957,-0.257492135,1.174099309,-0.108827611,0.478424261,0,0.1,2.178
Li2Fe3SbO8,1.3365,1,0,-0.618369342,-0.617708636,0.610485169,-0.507650835,0.555503431,-0.099183115,0.529944974,0.561283296,-0.400837566,0.536629249,-0.436684385,-0.227821847,0.443324855,-0.362604448,-0.296553283,1.104370723,0.084930632,0.867817298,-0.210855773,0.082479265,0,0.1,1.3365
Sr(BeN)2,1.8808,1,0,-0.89393982,1.209353695,-0.395827707,0.063069947,0.474003009,1.185931883,1.519393687,0.477673698,-1.083329019,-0.019669981,0.648723268,-0.548170258,1.461307784,-0.362604448,-0.108422399,0.684311408,0.25096324,0.316619715,0.830214087,-3.3431632,0,0.1,1.8808
MgO2,3.8015,1,0,-1.087229188,-1.06954377,0.584782564,-0.51175674,0.917673508,-0.619402046,-0.756338354,0.920530291,-1.083329019,0.845684376,-0.604764851,1.179422958,0.021234372,-0.362604448,-0.741226282,0.729723226,0.946089028,1.174677051,-0.21200359,-1.149496825,0,0.1,3.8015
Ca(AuF6)2,1.6254,1,0,-0.495659548,-1.316802085,2.504282934,-2.337789514,2.769920049,-0.678144471,-0.558448611,2.769401566,-0.628334717,1.278361555,-2.329687388,-0.342231994,-0.475342667,-0.362604448,-0.476702857,1.694724356,1.452084773,1.605135868,-0.036387616,2.720884337,0,0.1,1.6254
TlS,0.4034,1,0,0.696363298,-0.719261158,-0.747096647,0.681008635,-0.67410137,-0.778703537,-1.037341788,-0.668427018,0.622899614,0.304837903,1.395718147,1.488330354,1.560623192,-0.362604448,-0.564212223,-0.598572448,0.682756101,-0.969867823,-0.325382385,0.282829665,0,0.1,0.4034
Cr2GaN,0,1,0,0.172206694,1.433946664,-0.383907658,0.077440614,-0.541685757,1.315862161,1.182981124,-0.536142836,0.622899614,-0.506431807,0.861202348,0.550167151,1.039217301,-0.362604448,0.370456215,-0.12174836,-1.432533877,-0.16727833,-0.050671559,-0.855153073,0,0.1,0
Ba2NiWO6,3.3607,1,0,-0.258597704,-0.805801568,0.622591469,-0.13524526,0.517809312,0.090485223,2.09327394,0.516003266,-0.673834147,0.629345787,-0.604577248,-0.571052288,0.368838299,-0.362604448,-0.126893432,1.206547314,0.098569714,0.961247955,-0.135610004,-0.066428967,0,0.1,3.3607
Cd(GaO2)2,1.5938,1,0,-0.426465852,-0.736922466,0.594281353,-0.474803595,0.520427828,-0.729632989,-0.716760405,0.524017247,0.379152667,0.536629249,-0.587794511,1.145099914,0.269522891,-0.362604448,-0.895151551,0.298310955,0.82739363,0.867978103,-0.358796609,-0.102243928,0,0.1,1.5938
CoAsS,0.4293,1,0,0.308326264,0.317850105,-0.715620268,0.015167723,-0.153449761,0.102432835,0.391422154,-0.149080767,0.850396765,-0.23600857,0.977606967,1.122217884,-0.77328889,-0.362604448,0.197717857,-0.893749265,-0.463697091,-0.971244113,-0.517960542,0.291567232,0,0.1,0.4293
Li3In2(PO4)3,3.7687,1,0,-0.944740805,-0.819194727,0.571186258,-0.626722077,0.684744875,-0.807452478,-1.009637224,0.688172801,-0.742083292,1.116107613,-0.222532313,0.081085549,1.386821228,0.685281895,-0.941329132,1.104370723,0.630637876,0.960277142,-0.078729303,0.16677622,0,0.1,3.7687
ReC2,0,1,0,1.149919182,1.828873138,-0.812098163,-0.483015405,0.216416112,1.384312021,2.429686503,0.213740524,-0.514586141,0.845684376,1.86932253,0.355669901,-0.748460038,-0.362604448,1.487839648,-0.950514037,-1.852203304,-0.972834205,1.376319826,-0.141991841,0,0.1,0
Na2CS3,1.2757,1,0,-0.77729382,-0.702090442,-0.691407669,0.302581066,-0.42281882,-0.789904424,-1.027447301,-0.417607387,-1.083329019,0.845684376,0.497462531,-0.319349965,0.468153706,1.116688641,-0.801941249,0.184781411,0.626286125,-0.969816436,1.727041633,0.618908725,0,0.1,1.2757
ZrP2,0,1,0,-0.296101577,1.361829656,-0.595861027,0.197196174,-0.187775233,-0.420275183,-0.439714765,-0.215002016,-0.855831868,0.845684376,1.598751629,0.218377725,-0.00359448,-0.362604448,-0.872347807,-0.712101993,-1.123775493,-0.970099871,-0.591165748,-0.460254074,0,0.1,0
Nb5Ga4,0,1,0,0.831756388,1.203859066,-0.798688108,0.724120636,-1.492402466,-0.042763837,-0.340769894,-1.517297415,1.191642492,-1.317701517,-0.105333311,0.012439461,-1.617469856,-0.362604448,0.61749677,-1.450044034,-1.661213634,-0.971459901,-0.60468448,-0.434545775,0,0.1,0
CsPbF3,3.67,1,0,-0.505023724,-1.172568068,2.477090322,-0.753183948,1.42821223,-0.789157698,-0.98193266,1.430154274,-0.400837566,0.629345787,-1.824435653,-0.044765612,-0.301540704,-0.362604448,-0.834949668,1.9331364,1.360354043,0.964632964,0.170729553,1.933029107,0,0.1,3.67
