COFs,b'pore_diameter_\xc3\x85',b'void_fraction',b'surface_area_m\xc2\xb2g\xe2\x81\xbb\xc2\xb9',b'crystal_density',b'B',b'O',b'C',b'H',b'Si',b'N',b'S',b'P',b'halogens',b'metals',gcmc_y,henry_y
b'05000N2_ddec.cif',3.84928,0.3102,4190.07,1049.36734440269,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.696244892692333,1.5805050493821187
b'05001N2_ddec.cif',19.7302,0.64806,3161.08,585.4772095119,0.0625,0.125,0.5625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.272498162401613,3.2713531204424164
b'07000N2_ddec.cif',26.16246,0.71368,3416.33,458.05448366779876,0.047619047619047616,0.09523809523809523,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.9937202691038975,2.997896236742983
b'07001N2_ddec.cif',7.82083,0.36936,2542.92,1100.2199764927752,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,9.650387795582443,9.013792992979925
b'07002N2_ddec.cif',14.84694,0.56072,3321.89,703.1143859606678,0.041666666666666664,0.08333333333333333,0.5833333333333334,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.6440091280292104,3.6025288195660257
b'07010N3_ddec.cif',9.33026,0.7131,5244.15,421.6797840757804,0.08163265306122448,0.08163265306122448,0.5102040816326531,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,0.0,2.9020904083886037,2.861281824372006
b'07011N3_ddec.cif',9.94867,0.73572,5444.29,383.1168353325901,0.08163265306122448,0.08163265306122448,0.4897959183673469,0.32653061224489793,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,2.608942041674406,2.572449068267546
b'07012N3_ddec.cif',18.94596,0.88136,5330.44,180.98115721860594,0.047058823529411764,0.09411764705882353,0.5647058823529412,0.2823529411764706,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,1.7651108588044828,1.762239065259179
b'07013N3_ddec.cif',27.19302,0.88836,5199.24,171.07457191644215,0.047058823529411764,0.09411764705882353,0.5764705882352941,0.2823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,1.8597673933417271,1.854147098622194
b'08000N3_ddec.cif',10.04139,0.63932,5594.39,519.9785160557099,0.04428044280442804,0.08856088560885608,0.3948339483394834,0.44280442804428044,0.02952029520295203,0.0,0.0,0.0,0.0,0.0,4.576175704072115,4.5299255458988075
b'08010N2_ddec.cif',4.7838,0.23682,3836.5,1143.1491213329991,0.05263157894736842,0.10526315789473684,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,6.473829589979741,6.3961792281396095
b'08011N2_ddec.cif',7.51918,0.3622,3597.33,988.3273845164592,0.0625,0.125,0.4375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,4.802045291586816,4.821630173646602
b'08012N2_ddec.cif',9.8332,0.45334,3425.38,874.699774499947,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,3.760858405563195,3.7633511711056293
b'08013N2_ddec.cif',13.08046,0.55394,3159.79,756.001038154494,0.1,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3848540860398355,4.34633360827267
b'08020N2_ddec.cif',7.90088,0.37584,3414.41,1002.363374568802,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,6.881047378855367,6.87856134030866
b'08030N2_ddec.cif',24.73597,0.68606,3143.89,518.3364974584679,0.043478260869565216,0.08695652173913043,0.6086956521739131,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,3.448842456758517,3.441883090917703
b'09000N3_ddec.cif',9.64438,0.64274,6172.97,501.0455191496647,0.0,0.0,0.5616438356164384,0.3835616438356164,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,3.8789713956254515,3.854387894618386
b'09010N2_ddec.cif',13.63753,0.51134,4839.54,731.008729015671,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.500977902108815,3.4930494168005777
b'10000N2_ddec.cif',8.64115,0.41056,3088.27,960.475216280665,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.0,0.0,5.502990526170698,5.342059702865576
b'10010N2_ddec.cif',14.38798,0.55132,3068.93,759.4614624670429,0.04878048780487805,0.0975609756097561,0.5365853658536586,0.21951219512195122,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,3.309458781342518,3.2854003152316813
b'10020N2_ddec.cif',14.12635,0.56224,3986.97,635.8506933238112,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,3.9372100681683615,3.8782388259452185
b'11000N2_ddec.cif',13.36177,0.60158,5014.55,596.6174211083564,0.0,0.09090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,5.562096652998946,5.619067633661085
b'11001N2_ddec.cif',6.3075,0.50276,5504.6,736.428622342699,0.0,0.09090909090909091,0.4090909090909091,0.4090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,3.836424483128883,3.7764547726402116
b'11002N2_ddec.cif',27.2536,0.7154,4074.25,427.07625511220937,0.0,0.0625,0.46875,0.40625,0.0,0.0625,0.0,0.0,0.0,0.0,3.0316490702328887,3.032076143593109
b'11003N2_ddec.cif',13.11535,0.65894,5976.57,493.234361703798,0.0,0.0625,0.46875,0.40625,0.0,0.0625,0.0,0.0,0.0,0.0,3.0790818132771536,3.1419667980430357
